                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 0.3802,                0.24457,                0.89447,                0.88099,                0.76922,                   0.85,                 0.6865,                0.82395,                0.69337,                 1.1939,              0.0026457,              0.0026457,              0.0026457
                     54,                0.37209,                0.24306,                0.89151,                 0.8426,                 0.7829,                0.84484,                0.68035,                0.82928,                0.69781,                 1.2147,              0.0025043,              0.0025043,              0.0025043
                     55,                0.36303,                0.23529,                0.88823,                0.86541,                0.77263,                0.84312,                0.68201,                0.82329,                0.70059,                 1.1984,              0.0023629,              0.0023629,              0.0023629
                     56,                0.36216,                0.23019,                0.88576,                0.85404,                 0.7935,                0.84473,                0.68171,                0.83075,                0.69515,                 1.2094,              0.0022214,              0.0022214,              0.0022214
                     57,                0.35092,                0.22888,                0.88466,                0.87564,                0.76322,                 0.8507,                0.68474,                0.82828,                0.72235,                 1.2034,                0.00208,                0.00208,                0.00208
                     58,                0.35249,                0.22733,                0.88386,                0.84711,                 0.7893,                 0.8491,                0.68838,                0.82638,                0.71139,                 1.2046,              0.0019386,              0.0019386,              0.0019386
                     59,                0.34711,                 0.2243,                0.88016,                0.83432,                0.79359,                0.84495,                 0.6818,                0.83259,                0.70886,                 1.2106,              0.0017971,              0.0017971,              0.0017971
                     60,                0.34087,                0.22093,                0.87543,                 0.8735,                0.76461,                0.84883,                0.68949,                 0.8248,                0.70774,                 1.2085,              0.0016557,              0.0016557,              0.0016557
                     61,                0.33662,                0.21653,                0.87344,                0.88289,                0.77668,                0.85366,                0.69793,                0.82243,                0.68861,                 1.2059,              0.0015143,              0.0015143,              0.0015143
                     62,                0.33944,                 0.2161,                0.87783,                 0.8465,                0.80863,                0.85652,                0.69542,                0.82957,                0.68979,                 1.2153,              0.0013729,              0.0013729,              0.0013729
                     63,                0.33166,                0.21167,                0.88069,                0.83769,                0.80793,                0.85187,                0.69319,                0.82717,                0.70534,                 1.2121,              0.0012314,              0.0012314,              0.0012314
                     64,                0.32594,                0.20983,                0.87133,                0.87637,                0.77954,                0.85351,                0.69518,                0.82021,                0.69401,                 1.1998,                0.00109,                0.00109,                0.00109
                     65,                0.32367,                0.20855,                0.87191,                0.86001,                 0.7904,                0.85013,                0.69315,                 0.8235,                0.70447,                 1.2108,             0.00094857,             0.00094857,             0.00094857
                     66,                0.32014,                0.20365,                0.86701,                0.84596,                0.80299,                0.85364,                  0.695,                0.81547,                0.69325,                 1.1999,             0.00080714,             0.00080714,             0.00080714
                     67,                0.31606,                0.20061,                0.87264,                0.88308,                0.77716,                0.85478,                0.69672,                0.81099,                0.69119,                 1.1972,             0.00066571,             0.00066571,             0.00066571
                     68,                0.31176,                0.19645,                0.86195,                0.88342,                0.77619,                0.85465,                0.69831,                0.81352,                0.68595,                 1.2002,             0.00052429,             0.00052429,             0.00052429
                     69,                0.30956,                0.19789,                0.86452,                0.89638,                0.77154,                0.85247,                0.69611,                0.81414,                0.70211,                  1.203,             0.00038286,             0.00038286,             0.00038286
                     70,                  0.309,                0.19627,                0.86336,                0.87987,                0.78589,                0.85632,                0.70032,                0.81456,                0.68751,                 1.1976,             0.00024143,             0.00024143,             0.00024143
